25.051	5.747	1
26.661	7.341	1
25.265	6.247	1
25.229	4.745	1
25.753	5.156	1
24.079	5.669	1
25.272	6.868	1
24.653	6.244	1
26.983	6.633	1
25.744	6.318	1
26.477	7.742	1
26.737	4.476	1
27.181	6.297	1
25.500	5.674	1
25.302	6.143	1
23.361	5.660	1
25.548	5.711	1
26.220	5.734	1
25.884	6.329	1
24.465	5.752	1
24.771	6.757	1
25.327	5.646	1
25.999	4.855	1
25.024	6.274	1
25.824	6.785	1
25.429	6.283	1
27.344	6.470	1
24.624	6.118	1
27.126	6.111	1
25.677	5.909	1
25.539	6.378	1
25.049	6.060	1
26.592	6.093	1
25.217	7.753	1
25.249	5.649	1
24.941	5.018	1
25.281	7.546	1
24.819	6.132	1
26.010	6.838	1
25.021	6.564	1
25.162	6.306	1
25.896	5.439	1
24.837	5.442	1
25.456	6.702	1
25.716	5.515	1
26.721	4.742	1
24.465	7.247	1
24.633	5.347	1
25.725	6.730	1
27.117	5.695	1
26.496	5.904	1
25.116	6.191	1
25.610	7.620	1
26.303	6.780	1
24.792	6.263	1
25.100	5.800	1
25.484	7.015	1
25.422	7.314	1
27.131	6.957	1
24.334	5.168	1
24.624	5.688	1
25.518	4.823	1
26.390	7.040	1
24.304	4.883	1
25.528	4.933	1
24.897	7.192	1
24.773	6.093	1
26.586	6.842	1
25.636	5.637	1
26.772	5.534	1
24.854	5.515	1
25.859	5.221	1
25.254	5.573	1
25.484	4.933	1
25.544	5.984	1
23.184	5.731	1
27.710	6.253	1
25.120	4.650	1
25.254	5.568	1
25.514	6.357	1
27.225	5.573	1
24.658	5.994	1
25.189	5.499	1
25.245	5.959	1
24.801	4.416	1
26.275	5.589	1
25.875	6.546	1
24.633	6.750	1
24.877	4.466	1
26.450	6.700	1
25.148	5.929	1
24.591	5.800	1
25.695	5.987	1
26.344	5.952	1
26.822	5.667	1
26.135	5.016	1
25.263	5.308	1
24.631	6.835	1
25.803	6.194	1
26.024	7.558	1
25.140	5.295	1
26.326	7.570	1
25.554	6.713	1
25.176	5.168	1
25.573	5.276	1
24.425	5.511	1
24.917	7.247	1
24.941	5.876	1
26.754	6.428	1
26.193	6.634	1
26.483	7.821	1
26.707	4.878	1
27.104	6.313	1
25.058	5.922	1
25.128	6.643	1
22.948	6.152	1
25.083	5.762	1
26.130	5.587	1
26.059	6.512	1
24.091	5.372	1
24.429	6.388	1
25.538	5.834	1
